{'Number': 10, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1257, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1258, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1259, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1260, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1261, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1262, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1263, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1264, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1265, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1266, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1267, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1268, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1269, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1270, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1271, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1272, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1273, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1274, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1275, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1276, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1277, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1278, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1279, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1280, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1281, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1282, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1283, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1284, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1285, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1286, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1287, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1288, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1289, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1290, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1291, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1292, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1293, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1294, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1295, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1296, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1298, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1299, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1300, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1301, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1302, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1303, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1304, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1305, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1306, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1307, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1308, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1309, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1310, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1311, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1312, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1313, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1314, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1315, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1316, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1317, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1318, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1319, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1320, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1321, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1322, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1323, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1324, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1325, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1326, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1327, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1328, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1329, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1330, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1331, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1332, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1333, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1334, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1335, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1336, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1337, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1338, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1339, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1340, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1341, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1342, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1343, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1344, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1345, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1346, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1347, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1348, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1349, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1350, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1351, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1352, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1353, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1354, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1355, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1356, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1357, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1358, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1359, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1360, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1361, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1362, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1363, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1364, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1365, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1366, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1367, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1368, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1369, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1370, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1371, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1372, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1373, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1374, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1375, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1376, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1377, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1378, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1379, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1380, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1381, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1382, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1383, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1384, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1385, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1386, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1388, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1389, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1390, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1391, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1392, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1393, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1394, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 1395, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1396, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1397, 'Palindrone': 'Yes', 'Number of processes': 9}
{'Number': 1398, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1399, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1400, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1401, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1402, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1403, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1404, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1405, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1406, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1407, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1408, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1409, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1410, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1411, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1412, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1413, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1414, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1415, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1416, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1417, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1418, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1419, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1420, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1421, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1422, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1423, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1424, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1425, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1426, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1427, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1428, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1429, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1430, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1431, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1432, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1433, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1434, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1435, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1436, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1437, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1438, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1439, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1440, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1441, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1442, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1443, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1444, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1445, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1446, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1447, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1448, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1449, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1450, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1451, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1452, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1453, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1454, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1455, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1456, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1457, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1458, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1459, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1460, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1461, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1462, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1463, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1464, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1465, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1466, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1467, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1468, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1469, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1470, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1471, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1472, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1473, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1474, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1475, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1476, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1478, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1479, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1480, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1481, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1482, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1483, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1484, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 1485, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1486, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1487, 'Palindrone': 'Yes', 'Number of processes': 9}
{'Number': 1488, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1489, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1490, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1491, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1492, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1493, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1494, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1496, 'Palindrone': 'Yes', 'Number of processes': 16}
{'Number': 1498, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1499, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1500, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1501, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1502, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1503, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1504, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1505, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1506, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1507, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1508, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1509, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1510, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1511, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1512, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1513, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1514, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1515, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1516, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1517, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1518, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1519, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1520, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1521, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1522, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1523, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1524, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1525, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1526, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1527, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1528, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1529, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1530, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1531, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1532, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1533, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1534, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1535, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1536, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1537, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1538, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1539, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1540, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1541, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1542, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1543, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1544, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1545, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1546, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1547, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1548, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1549, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1550, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1551, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1552, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1553, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1554, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1555, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1556, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1557, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1558, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1559, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1560, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1561, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1562, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1563, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1564, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1565, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1566, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1568, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1569, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1570, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1571, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1572, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1573, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1574, 'Palindrone': 'Yes', 'Number of processes': 7}
{'Number': 1575, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1576, 'Palindrone': 'Yes', 'Number of processes': 5}
{'Number': 1577, 'Palindrone': 'Yes', 'Number of processes': 9}
{'Number': 1578, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1579, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1580, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1581, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1582, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1583, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1584, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1586, 'Palindrone': 'Yes', 'Number of processes': 16}
{'Number': 1588, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1589, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1590, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1591, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1592, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1593, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1594, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1595, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1596, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1597, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1598, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1599, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1600, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1601, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1602, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1603, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1604, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1605, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1606, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1607, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1608, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1609, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1610, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1611, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1612, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1613, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1614, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1615, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1616, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1617, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1618, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1619, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 1620, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1621, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1622, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1623, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1624, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1625, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1626, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1627, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1628, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1629, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 1630, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1631, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1632, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1633, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1634, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1635, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1636, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1637, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1638, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 1639, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1640, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1641, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1642, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1643, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1644, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1645, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1646, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1647, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1648, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1649, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1650, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1651, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1652, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1653, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1654, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1655, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1656, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1658, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 1659, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1660, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1661, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 1662, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1663, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 1664, 'Palindrone': 'Yes', 'Number of processes': 7}
